sample number,reduction,reduction_depth,mu,std,q1,env,ws,baltimore_vol_rel,chester_rel,nuclear_rel,env_rel
329,0.7777780860376463,0.5729716064623018,0.9904573065171024,1.2842083201485721,0.5149092858579891,1.2541103265036884,1.0319018693730828,1.0,0.9166927409261577,0.9488031914893617,0.9676157697121401
330,0.7777780860376463,0.5729716064623018,0.8373467811522934,1.3271300195531688,0.9886220867015387,1.3258075844190833,1.0526871595680662,1.0,0.8974108260325406,0.9397293491864831,0.9640566332916145
331,0.7777780860376463,0.5729716064623018,0.8348122738054482,1.4563378976097487,0.6900439577680252,1.012931831165235,1.2494641674370275,1.0,0.9161842928660826,0.9518147684605758,0.975125156445557
332,0.7777780860376463,0.5729716064623018,0.6488357663683618,1.4442793018989752,0.9905178524000164,1.1734633288627183,1.3713487502762738,1.0,0.838665519399249,0.8976063829787234,0.9389862327909887
333,0.7777780860376463,0.5729716064623018,0.7516210820111937,1.398416799129716,0.7432653871571309,1.1537818040993475,1.0247698388593105,1.0,0.8657697121401753,0.9079317897371715,0.9450093867334167
334,0.7777780860376463,0.5729716064623018,0.9811799203067341,1.4512445829287348,0.918433158352358,1.0311536472347302,1.357514048749441,1.0,0.9711357947434293,0.9890096996245307,0.994837296620776
335,0.7777780860376463,0.5729716064623018,0.78778921233287,1.3623232729776942,0.329368635852163,1.3728157009774895,1.012339092048302,1.0,0.7956038798498123,0.8489518147684606,0.8808667083854819
336,0.7777780860376463,0.5729716064623018,0.776523690912726,1.1123346361668756,0.8807347916556445,1.1701375931663416,1.3914893822166703,1.0,0.9244367959949937,0.9581508135168961,0.9775500625782227
337,0.7777780860376463,0.5729716064623018,0.9068877669477133,1.3289080270214673,0.8436606294971432,1.0146303502702414,1.318522893030926,1.0,0.959793491864831,0.9841989987484355,0.9924123904881101
338,0.7777780860376463,0.5729716064623018,0.7727266220791342,1.0504773377817995,0.8738110746591281,1.2344560342228763,1.3890868247197456,1.0,0.9164971839799749,0.9513063204005007,0.9728175844806007
339,0.7777780860376463,0.5729716064623018,0.6579417956868173,1.1952624569914674,0.36760773429411286,1.0221527241216066,1.0355199792820198,1.0,0.8302565707133918,0.8822747183979975,0.9131727158948686
340,0.7777780860376463,0.5729716064623018,0.813766727995337,1.2607160422906447,0.9281773857104847,1.0674820554980635,1.0447380393497319,1.0,0.9461827284105131,0.9776673967459324,0.9897919274092616
341,0.7777780860376463,0.5729716064623018,0.7201231140882143,1.3631624110263894,0.5888694869500231,1.0852874823804355,1.3989923988510051,1.0,0.8499687108886107,0.8953379224030038,0.9312421777221527
342,0.7777780860376463,0.5729716064623018,0.7223856914323096,1.4347136321789924,0.5050020487372529,1.0400290975434123,1.0946962635062012,1.0,0.8426548811013768,0.8913876720901126,0.9247105757196495
343,0.7777780860376463,0.5729716064623018,0.768154484921463,1.2879363691639265,0.5543709767150686,1.35884542241585,1.2040223083747421,1.0,0.8195791614518148,0.8719493116395495,0.9021041927409261
344,0.7777780860376463,0.5729716064623018,0.7510954872003199,1.3929106313365254,0.6364404743106018,1.3935477549808637,1.3024591544599835,1.0,0.7920838548185232,0.8517678347934918,0.8861858573216521
345,0.7777780860376463,0.5729716064623018,0.8518430808776006,1.0641289519070702,0.7812267059141369,1.0991671622204597,1.1423708996949864,1.0,0.9513454317897372,0.976415832290363,0.9876799123904881
346,0.7777780860376463,0.5729716064623018,0.9650619872338049,1.3028412165020133,0.5805695626107394,1.1886891220429148,1.2139114352523315,1.0,0.9221292240300376,0.9544743429286608,0.972191802252816
347,0.7777780860376463,0.5729716064623018,0.6899916365671965,1.2431849715009955,0.9091582845200774,1.359946472803356,1.3182637799714902,1.0,0.8206742803504381,0.8780506883604505,0.9142678347934918
348,0.7777780860376463,0.5729716064623018,0.9966313013864612,1.4060094001940566,0.3666611725889114,1.202842373138291,1.3487949841656817,1.0,0.8963939299123905,0.9352706508135169,0.9572512515644556
349,0.7777780860376463,0.5729716064623018,0.8100082196821319,1.2798035084884063,0.6425715139456485,1.2325434211095088,1.285325612756483,1.0,0.8724968710888611,0.9123513767209012,0.9450484981226533
350,0.7777780860376463,0.5729716064623018,0.8243195059043354,1.4603720220574736,0.8994250179460499,1.2527940006619478,1.0647348889834007,1.0,0.8813360450563203,0.9312421777221527,0.9562343554443054
351,0.7777780860376463,0.5729716064623018,0.7661477475897092,1.0349372262407923,0.7028141135717111,1.1947294002433677,1.2568260463731074,1.0,0.9025344180225282,0.9423107008760951,0.9656210888610763
352,0.7777780860376463,0.5729716064623018,0.6278250058992951,1.394353850912684,0.9291966714494138,1.3087393198882404,1.379482077392024,1.0,0.7623591989987484,0.8413250938673342,0.8855209637046308
353,0.7777780860376463,0.5729716064623018,0.9565492381890184,1.4886795620899702,0.7183562556269103,1.3384857236852195,1.125457387955451,1.0,0.8859511889862328,0.9292866082603254,0.9534574468085106
354,0.7777780860376463,0.5729716064623018,0.6012731398816688,1.0684653846592553,0.7300070939443898,1.1473773617328757,1.2174413657265641,1.0,0.831273466833542,0.8863031914893618,0.9233025657071339
355,0.7777780860376463,0.5729716064623018,0.9686311900905269,1.061349142053953,0.7406792991961004,1.2611713682042884,1.0423928806240668,1.0,0.9511107634543179,0.9722309136420526,0.9841207759699625
356,0.7777780860376463,0.5729716064623018,0.9766526989287749,1.201522609236845,0.9647149084659361,1.1985051746973245,1.0730288479862335,1.0,0.9637828535669587,0.9836123279098874,0.9913954943679599
357,0.7777780860376463,0.5729716064623018,0.8008563766182627,1.0259374510134982,0.31057639875254656,1.0387637681978277,1.3959943284438072,1.0,0.9047637672090113,0.9430538172715894,0.9642130788485607
358,0.7777780860376463,0.5729716064623018,0.6943402369175865,1.4823556056102327,0.8365030886944165,1.0541472788970458,1.314337074168757,1.0,0.8694461827284106,0.9233025657071339,0.9568992490613266
359,0.7777780860376463,0.5729716064623018,0.7951590481136538,1.2734663079001212,0.3127541585015525,1.3779924402468708,1.134824332459393,1.0,0.8111702127659575,0.8609981226533167,0.892130788485607
360,0.7777780860376463,0.5729716064623018,0.6144094367837974,1.0181271468561126,0.8394548698393252,1.2370234401788331,1.1450296425225313,1.0,0.8397606382978724,0.8913876720901126,0.9281914893617021
361,0.7777780860376463,0.5729716064623018,0.8215778799389074,1.4507372878246692,0.3695054887417131,1.3850404904261666,1.1869579568631183,1.0,0.8001408010012516,0.8530976220275344,0.8847387359198999
362,0.7777780860376463,0.5729716064623018,0.6320081872484182,1.0558151338759627,0.38045969735870255,1.398240845560228,1.1502130596782574,1.0,0.7388532540675845,0.8105835419274092,0.8519242803504381
363,0.7777780860376463,0.5729716064623018,0.7483870338970846,1.0455315656100288,0.9384487097383147,1.3841842475681907,1.3544450936020533,1.0,0.87930225281602,0.928035043804756,0.9534965581977471
364,0.7777780860376463,0.5729716064623018,0.9476370020188958,1.2465953775236591,0.6747423797248915,1.2861186389518677,1.1136913791868177,1.0,0.9175923028785983,0.9506023153942428,0.9692193366708386
365,0.7777780860376463,0.5729716064623018,0.8741322153444128,1.0388167476930812,0.8606334335283659,1.3617341734170503,1.0116871244493881,1.0,0.9280741551939925,0.9565472465581978,0.9745775969962454
366,0.7777780860376463,0.5729716064623018,0.803869941487855,1.454449786888822,0.31939763978344454,1.2901314828044579,1.2531244669944297,1.0,0.8032697121401753,0.8570869837296621,0.8888454317897372
367,0.7777780860376463,0.5729716064623018,0.7599375095627242,1.1863329295812781,0.33860010868830637,1.071323763089647,1.2610061659068525,1.0,0.8677252816020025,0.9027690863579474,0.9370306633291614
368,0.7777780860376463,0.5729716064623018,0.9448446624688532,1.4074053230774717,0.672297882091327,1.3268860124613897,1.1165874297385152,1.0,0.888767209011264,0.9316332916145181,0.9545134543178974
369,0.7777780860376463,0.5729716064623018,0.6418945554706393,1.465440777287792,0.6157554475533822,1.0070260531460515,1.1982468764817793,1.0,0.819813829787234,0.8811795994993742,0.9174749687108886
370,0.7777780860376463,0.5729716064623018,0.6484677826029528,1.153111900919383,0.6517429025495035,1.3758689438605358,1.3563996519448567,1.0,0.7693992490613266,0.8363970588235294,0.8748435544430538
371,0.7777780860376463,0.5729716064623018,0.9796969023286055,1.3082014952458194,0.8672492472039124,1.2402545243865104,1.3791800430980594,1.0,0.9427800375469336,0.9685935544430538,0.9831821026282853
372,0.7777780860376463,0.5729716064623018,0.7536380593171504,1.020327406716342,0.966709170582295,1.1197213893454325,1.1740604179386487,1.0,0.9468085106382979,0.9774718397997497,0.9891661451814768
373,0.7777780860376463,0.5729716064623018,0.8165411895192063,1.0489930587065222,0.45637460534568797,1.0452014352144803,1.1767345592690497,1.0,0.9222074468085106,0.9543570087609512,0.973834480600751
374,0.7777780860376463,0.5729716064623018,0.6646758853970323,1.3414054691809705,0.6075248097076884,1.3813288804221615,1.2813055965443825,1.0,0.7311874217772215,0.806124843554443,0.851415832290363
375,0.7777780860376463,0.5729716064623018,0.8391796943745259,1.4183289679542512,0.9938462260129823,1.2943503321555454,1.1482825430426964,1.0,0.8949859198998749,0.9386342302878599,0.9638610763454318
376,0.7777780860376463,0.5729716064623018,0.9480979393815919,1.4283106939944625,0.8136916204083231,1.203414593453552,1.1545087800986167,1.0,0.9272137046307884,0.9577988110137672,0.9764549436795995
377,0.7777780860376463,0.5729716064623018,0.8002824140839567,1.360657011682634,0.8104721866529117,1.2086761429080435,1.101559638992618,1.0,0.8816098247809763,0.9306946182728411,0.955999687108886
378,0.7777780860376463,0.5729716064623018,0.9870712739606978,1.0623503020048832,0.449546206655863,1.3002050075301934,1.229689612761981,1.0,0.9320244055068836,0.9570556946182729,0.97305225281602
379,0.7777780860376463,0.5729716064623018,0.984887981219094,1.364357573926252,0.7065277346114364,1.0969582676552025,1.2436283824880072,1.0,0.9462218397997497,0.9713704630788486,0.9849812265331664
380,0.7777780860376463,0.5729716064623018,0.899711764469779,1.09571869076245,0.7690966083751727,1.2875749884650354,1.3098815461278701,1.0,0.9304208385481852,0.9578770337922403,0.9758682728410513
381,0.7777780860376463,0.5729716064623018,0.6527552858601353,1.0914551539750763,0.737021221532052,1.1299162256613309,1.138640260226265,1.0,0.8649483729662077,0.9090269086357947,0.9470040675844806
382,0.7777780860376463,0.5729716064623018,0.8666466116672831,1.2554239550568793,0.842575630338648,1.3670287848021898,1.0976908587624872,1.0,0.8902143304130162,0.9349968710888611,0.957212140175219
383,0.7777780860376463,0.5729716064623018,0.7041639250970018,1.063078947853317,0.9568211532787962,1.0235709755932503,1.0037611218389995,1.0,0.9521276595744681,0.9813829787234043,0.9930772841051314
384,0.7777780860376463,0.5729716064623018,0.9703227274930534,1.0854527332402912,0.8301642184330738,1.2333677649283104,1.0500211928335423,1.0,0.9569774718397998,0.9779020650813517,0.9877581351689612
385,0.7777780860376463,0.5729716064623018,0.9977107515203631,1.3883349289671143,0.9894237794790532,1.2478911697185124,1.2505173604575506,1.0,0.9494289737171464,0.9749295994993742,0.9867803504380476
386,0.7777780860376463,0.5729716064623018,0.7794122416690448,1.3900360575677408,0.9324973809837265,1.0511417632983397,1.0043741118849279,1.0,0.9345275344180225,0.9697277847309136,0.9859981226533167
387,0.7777780860376463,0.5729716064623018,0.9830376202666945,1.1158423896138678,0.7142241926316202,1.0342997682145896,1.1519535740873048,1.0,0.9705491239048811,0.9864283479349186,0.9928035043804756
388,0.7777780860376463,0.5729716064623018,0.6082057129000017,1.1932795775787903,0.5021956546920848,1.122732710749553,1.0451185669399912,1.0,0.7855913642052565,0.8521589486858573,0.8889236545682102
389,0.7777780860376463,0.5729716064623018,0.9412546806980269,1.014617244082586,0.36392203239677035,1.1315806972814109,1.0203453865271805,1.0,0.9417240300375469,0.9634308510638298,0.978566958698373
390,0.7777780860376463,0.5729716064623018,0.9048057332743761,1.0043025657942344,0.9398777326458454,1.2398031957747622,1.3131516198675441,1.0,0.9592459324155194,0.9803660826032541,0.9893617021276596
391,0.7777780860376463,0.5729716064623018,0.7985498523305503,1.3736406082602062,0.41282047388887066,1.0620935980864756,1.3324381719779643,1.0,0.8672950563204005,0.9034730913642053,0.9384777847309136
392,0.7777780860376463,0.5729716064623018,0.989016262486436,1.3158491379065542,0.9725447955479753,1.3195341873532807,1.0489597235004933,1.0,0.9427409261576971,0.9682415519399249,0.9829865456821026
393,0.7777780860376463,0.5729716064623018,0.9693794873380988,1.248359390321431,0.4513810115977386,1.294950523025783,1.2268110974827404,1.0,0.9022215269086358,0.9391817897371715,0.9595979349186483
394,0.7777780860376463,0.5729716064623018,0.700715559534757,1.1354551190146764,0.7977424849485488,1.020337454979222,1.3198819032925535,1.0,0.9208776595744681,0.9566645807259074,0.9787625156445557
395,0.7777780860376463,0.5729716064623018,0.9198134896355668,1.3471691857915635,0.9604998536232405,1.2001181895084239,1.2461895426159637,1.0,0.9413329161451814,0.9709402377972466,0.9851376720901126
396,0.7777780860376463,0.5729716064623018,0.7666899759822398,1.3619360219315504,0.48417984259693025,1.3303144467041188,1.3319536361163786,1.0,0.8048732790988736,0.8598247809762203,0.892561013767209
397,0.7777780860376463,0.5729716064623018,0.8269766132975938,1.3698291502989104,0.6549313144292095,1.3683236957949023,1.294979639422801,1.0,0.8471526908635795,0.8874374217772215,0.9193132040050063
398,0.7777780860376463,0.5729716064623018,0.8974730274087215,1.286383941241822,0.7264888165839563,1.0629333920149846,1.2795942588397433,1.0,0.9406289111389237,0.9696886733416771,0.9843945556946183
399,0.7777780860376463,0.5729716064623018,0.6632857420736152,1.415459427923999,0.4188880072011183,1.051355005595564,1.335310925859381,1.0,0.7941567584480601,0.8581038798498123,0.8938908010012516
400,0.7777780860376463,0.5729716064623018,0.7113531673520631,1.0284778438512712,0.8388661879536468,1.258115105081632,1.2276038648567893,1.0,0.8816880475594493,0.9315941802252816,0.955921464330413
401,0.7777780860376463,0.5729716064623018,0.8393585547948861,1.4598679326936077,0.35900609821093094,1.2173112690172418,1.2378449412353139,1.0,0.8383917396745932,0.8821573842302879,0.9122340425531915
402,0.7777780860376463,0.5729716064623018,0.7426226273326022,1.2459617049871654,0.3323534507464754,1.2101226932296507,1.27014709262737,1.0,0.8208307259073843,0.8732008760951189,0.9023388610763454
403,0.7777780860376463,0.5729716064623018,0.8511092845389114,1.1518571741214296,0.5867462584547333,1.1844771077556806,1.0942430909871679,1.0,0.9084402377972466,0.9445009386733417,0.9656993116395495
404,0.7777780860376463,0.5729716064623018,0.6612590231120947,1.2506098415620719,0.48022767046922565,1.2636682759239997,1.1403693616672503,1.0,0.7712374843554444,0.8355366082603254,0.8740222152690864
405,0.7777780860376463,0.5729716064623018,0.6605864764359963,1.4673797595980496,0.6908903967560458,1.0466840178451289,1.1890322609765538,1.0,0.8321730287859825,0.8898623279098874,0.9256883604505632
406,0.7777780860376463,0.5729716064623018,0.715504516970295,1.1383555719301304,0.5112045727159121,1.03733643707894,1.1626626895937777,1.0,0.8775031289111389,0.9226376720901126,0.9519712140175219
407,0.7777780860376463,0.5729716064623018,0.6194344569853184,1.1108687125962635,0.9450830007099984,1.0893743929097053,1.034502824467219,1.0,0.890840112640801,0.9396120150187734,0.9710575719649562
408,0.7777780860376463,0.5729716064623018,0.7526796284174655,1.3650383038955565,0.8725272360768723,1.025920312296616,1.396150158735018,1.0,0.9245541301627034,0.961436170212766,0.9818132040050063
409,0.7777780860376463,0.5729716064623018,0.9369399449950633,1.1233374037008739,0.5343892585682124,1.3381998874112135,1.2844131050025989,1.0,0.9104740300375469,0.9442271589486858,0.9642130788485607
410,0.7777780860376463,0.5729716064623018,0.7759356622778972,1.0833701837993948,0.8946554187752596,1.1822919350692385,1.2246430262033354,1.0,0.928035043804756,0.9601063829787234,0.978566958698373
411,0.7777780860376463,0.5729716064623018,0.8872194341559994,1.3232227499303462,0.5122559280110688,1.0421406070605899,1.2034632540831103,1.0,0.9166536295369212,0.9514627659574468,0.9714095744680851
412,0.7777780860376463,0.5729716064623018,0.7623724183541994,1.2396368957592983,0.9663885522971163,1.2435067471748078,1.053505996190648,1.0,0.89549436795995,0.9394164580725908,0.9656993116395495
413,0.7777780860376463,0.5729716064623018,0.9099114839221474,1.4422374460217575,0.6560716009145362,1.098363121014094,1.1229475150130959,1.0,0.9167709637046308,0.9517365456821026,0.9724264705882353
414,0.7777780860376463,0.5729716064623018,0.6779952762320919,1.15751294060441,0.3084334739903324,1.3611471066238958,1.0239464854297116,1.0,0.759034730913642,0.824037859824781,0.8610763454317898
415,0.7777780860376463,0.5729716064623018,0.6651554059293191,1.275967177784997,0.5181884850961954,1.3125849021805693,1.2281102873265284,1.0,0.7565316020025031,0.8264236545682102,0.865965269086358
416,0.7777780860376463,0.5729716064623018,0.9270085624452475,1.2130061943856718,0.9515311363969758,1.0909076048289619,1.2972570835129922,1.0,0.9707837922403004,0.9883448060075094,0.993976846057572
417,0.7777780860376463,0.5729716064623018,0.6336198503956586,1.3315372177793758,0.5901943887090748,1.121280275930512,1.179546773731539,1.0,0.7920838548185232,0.8589252190237797,0.8952596996245307
418,0.7777780860376463,0.5729716064623018,0.9635394919139124,1.2141483720186204,0.4695583192193358,1.1654434284253727,1.317309936670505,1.0,0.9254536921151439,0.9553739048811014,0.9726611389236546
419,0.7777780860376463,0.5729716064623018,0.819547086490246,1.0872934359080442,0.44086453376926416,1.1676905898882524,1.0912327290846218,1.0,0.8929912390488111,0.9347622027534418,0.9575641426783479
420,0.7777780860376463,0.5729716064623018,0.6541490635794504,1.2299857159587,0.7572824127574787,1.0273324959144905,1.300550415477459,1.0,0.8745306633291614,0.9269790362953692,0.958072590738423
421,0.7777780860376463,0.5729716064623018,0.6949157605481374,1.0904566671399865,0.4135494993902955,1.3964368513565915,1.0801093578000365,1.0,0.7922011889862328,0.8484433667083855,0.8809840425531915
422,0.7777780860376463,0.5729716064623018,0.669925264684646,1.099924655763951,0.9966596427948999,1.2596723575116457,1.3668747648582797,1.0,0.8722622027534418,0.9248670212765957,0.9547872340425532
423,0.7777780860376463,0.5729716064623018,0.6112409905633251,1.1497554124582956,0.6781611555220808,1.136319192123852,1.2914013507766584,1.0,0.8175453692115144,0.8775031289111389,0.9131727158948686
