,storage_target,rel,hp_average
10,"[2101363906.9939303, 2120355023.6320908, 2154999492.9611654, 2126839456.6938324, 2318579233.3445797, 2471816376.35112, 2477866413.0621367, 2498087355.957241, 2248278123.900105, 2138276976.2508876, 2137712548.4079843, 2145583465.9075508]",0.9471605131414268,752.3198784150266
11,"[2108375446.653243, 2120687918.5779376, 2167280950.711315, 2042669151.2280262, 2461323804.9670815, 2456790534.4778576, 2477889737.781274, 2435476505.9914684, 2243655755.534408, 2141310937.1642554, 2184488263.6633863, 2145620074.8090858]",0.9677722152690864,736.7146559244168
12,"[2121872079.1691203, 2104543981.301541, 2153968758.623817, 1883586941.4515722, 2374083369.7033625, 2496027578.5946383, 2493247734.0023484, 2430678512.3561234, 2289899290.805538, 2142491270.3468688, 2137717586.3909538, 2126683672.9303813]",0.9555694618272841,746.8534172813983
13,"[2101321668.2352993, 2120709190.0642362, 2154999492.9611654, 2248951242.566116, 2270028010.4701924, 2471074428.258279, 2478844378.087841, 2480198591.6089964, 2460510207.657191, 2140783147.2633717, 2185750041.046421, 2103368883.0392518]",0.9442271589486858,753.9257566466285
14,"[2101363906.9939303, 2120794665.9907677, 2162351693.1774025, 1707254465.2973208, 2271618996.660394, 2471816376.35112, 2478887727.50816, 2420617998.0317655, 2411100234.007045, 2141628394.7797287, 2137712548.4079843, 2139036638.7670615]",0.9410200250312891,755.3403082831804
15,"[2107922199.4500098, 2105992016.8857515, 2157677717.118672, 2129615748.938192, 2136720639.5910835, 2468596722.0322237, 2162882096.804139, 2452229229.835826, 2241969009.4117565, 2162915422.304717, 2110501900.755837, 2116117031.5736105]",0.8616239048811014,808.936395246173
16,"[2109693175.899396, 2098267234.529482, 2118753771.1069033, 2173473275.2880387, 2135860194.3450718, 2463436984.5728726, 2184063644.879529, 2387715713.8526545, 2234038391.7960625, 2140076533.3899288, 2141691277.0426881, 2138628684.0149295]",0.8667083854818523,807.4073107221382
17,"[2107176091.728041, 2105535883.197831, 2167280950.711315, 1738538392.7264009, 2493492892.3754015, 2492955434.651694, 2484349966.6218376, 2485510799.702103, 2234089189.2397966, 2140121269.8235714, 2184488263.6633863, 2140497885.1481435]",0.976415832290363,730.9634756592028
18,"[2107176091.728041, 2105523208.2718039, 2167280950.711315, 1738538392.7264009, 2342200424.73601, 2489104954.1495686, 2484349966.6218376, 2431599788.2138877, 2471643888.702255, 2140121269.8235714, 2135468315.0600066, 2126676110.4670458]",0.9518147684605758,748.2106512458136
19,"[2101167529.3612132, 2104155222.5873022, 2140982083.5788507, 1790383986.37431, 2174995243.509385, 2212071588.72383, 2467477582.3369007, 2493388807.710236, 2442152450.8416634, 2115705444.5363872, 2141560513.2257288, 2117554911.9770586]",0.8805147058823529,796.42824369379
20,"[2123600304.1870909, 2101530273.0615306, 2155642498.8844795, 2216151313.410665, 2392734082.11972, 2463299769.0824437, 2477889737.781274, 2391604456.954807, 2411477363.7352543, 2261839949.159436, 2185112371.2271223, 2139076886.4019585]",0.9617881727158949,741.6915972176628
21,"[2102323646.5196197, 2109739016.0613265, 2155030345.7941337, 2167116540.13558, 2228932634.430417, 2286075579.4155517, 2476945850.8822093, 2475889440.088769, 2361546337.451024, 2141468998.6465478, 2186355100.1086545, 2120973407.1751013]",0.9037468710888611,777.6220820238254
22,"[2101363906.9939303, 2120355023.6320908, 2154999492.9611654, 2126839456.6938324, 2431803007.779399, 2471816376.35112, 2477866413.0621367, 2498087355.957241, 2248278123.900105, 2138276976.2508876, 2137712548.4079843, 2145583465.9075508]",0.9658557571964956,740.0145810377304
