Solution number,reduction,reduction_depth,baltimore_vol_rel,baltimore_reservoir_fraction,chester_rel
36,0.922446721666372,0.6404672964265675,0.996920522494283,0.8074631857759499,0.8667275216795983
37,0.7030402719260214,0.20588103315623812,0.987530673216428,0.8274133315043859,0.8635326335006847
38,0.45998592540202876,0.5800458699364458,0.9755995466064813,0.87818582255968,0.8512094933820173
39,0.8697213287843873,1.1675115606572277,0.9945296039471309,0.8301915710321439,0.8566864445458695
40,0.9355652677980818,0.5632612378498039,0.997441432358938,0.8023007078570104,0.868553172067549
41,0.8296760465764473,0.4224169409478407,0.9930813181858984,0.813589558223673,0.8662711090826107
42,0.28914296199220224,0.8400924070654966,0.960417818969899,0.9009000298971088,0.8471017800091283
43,0.7777780860376463,0.5729716064623018,0.9906689109609598,0.8273745615418283,0.8621633957097216
44,0.9078165199557914,1.0955043038076633,0.9961712931611032,0.8225632959628026,0.8585120949338202
45,0.6652133008990142,0.622916685105876,0.9854839176565064,0.8467333569486795,0.8562300319488818
46,0.8964611538070201,0.6404672964265675,0.9957941774024756,0.8108555915874264,0.8649018712916476
47,0.9521127798826884,0.4214667683296194,0.9981203555773213,0.7938789103263566,0.8722044728434505
48,0.7059565965090828,0.5805339355396758,0.9873847193390475,0.8398136918624798,0.8575992697398448
49,0.942010669451355,0.4224169409478407,0.9977238327580175,0.7956494308218529,0.8712916476494751
50,0.3234485878505362,1.4337197466386402,0.9620192497971773,0.901344959698332,0.8457325422181652
51,0.30773493176875877,0.06638396367856003,0.9642966897717342,0.8906987416901142,0.8498402555910542
52,0.982661679076496,0.06658335149468275,0.9993510988974313,0.7715135210923834,0.881332724783204
53,0.9965152439537569,0.019073915586900105,0.9998695801023312,0.7665458374513604,0.8840712003651301
54,0.28914296199220224,1.5433936392370926,0.9581467102222703,0.9052273456586586,0.8429940666362392
55,0.6186165677466081,0.06934172576152325,0.9839857253458182,0.8382960179258047,0.861706983112734
56,0.8457038783432315,0.4826619996710725,0.993732380270446,0.8130891054805636,0.865814696485623
57,0.8994110001471372,0.6284242052352498,0.9959140022880397,0.809956365105633,0.8653582838886353
58,0.9763525223986056,0.3992625764265285,0.9990825944335376,0.7883045282105616,0.8731172980374258
59,0.3610143532073008,0.06658335149468275,0.9696693257569873,0.883493832042967,0.850296668188042
60,0.5290267683370768,0.5800458699364458,0.9791490627698294,0.8675970924495512,0.853035143769968
61,0.9565348700821024,0.00832461124735745,0.9983732813084127,0.7726642316359128,0.8808763121862163
62,0.4864741484234332,0.13339912061946485,0.9774995519163164,0.8642627578971696,0.8557736193518941
63,0.5180539666720931,0.13871155995822348,0.9791032071354855,0.8587520117744195,0.8571428571428572
64,0.4633760835875438,0.5084430712573478,0.9759976523010402,0.8759625598606439,0.851665905979005
65,0.8947855982827028,1.4233818896226376,0.9955340304154683,0.8321774629517159,0.8548607941579187
66,0.7295290541432639,1.128248244452445,0.9882725970532223,0.8464289744767592,0.8539479689639434
67,0.26014746522658994,0.5447295929223771,0.9577902479020186,0.901984995206219,0.8471017800091283
68,0.2843848401576311,1.3243199594641495,0.9585197967594792,0.9032263499739243,0.8457325422181652
69,0.25322884327213735,0.8835177471839502,0.9560321865733021,0.9042537649457725,0.8461889548151529
